school_name,school_type,address,homepage
정신여자고등학교,고등학교,서울특별시 송파구 올림픽로4길 16,http://chungshin.sen.hs.kr
정의여자고등학교,고등학교,서울특별시 도봉구 노해로49길 69,http://jeongeui.sen.hs.kr
중경고등학교,고등학교,서울특별시 용산구 이촌로84길 34,http://jungkyung.hs.kr
중동고등학교,고등학교,서울특별시 강남구 일원로 7,www.joongdong.hs.kr
중산고등학교,고등학교,서울특별시 강남구 일원로14길 22,http://www.jungsan.hs.kr
중앙고등학교,고등학교,서울특별시 종로구 창덕궁길 164,http://choongang.sen.hs.kr
중앙대학교사범대학부속고등학교,고등학교,서울특별시 강남구 선릉로 207,http://www.cau.hs.kr
중앙여자고등학교,고등학교,서울특별시 서대문구 북아현로11가길 7,http://jungang-girls.sen.hs.kr
중화고등학교,고등학교,서울특별시 중랑구 봉화산로27길 62,http://www.jung-hwa.hs.kr
진관고등학교,고등학교,서울특별시 은평구 진관4로 26,http://www.jingwan.hs.kr
진명여자고등학교,고등학교,서울특별시 양천구 목동로 170,http://jm.sen.hs.kr
진선여자고등학교,고등학교,서울특별시 강남구 선릉로85길 27,http://www.jinseon.hs.kr
창덕여자고등학교,고등학교,서울특별시 송파구 양재대로 1240,http://changduk.sen.hs.kr
창동고등학교,고등학교,서울특별시 도봉구 노해로62길 7,http://changdong.sen.hs.kr
창문여자고등학교,고등학교,서울특별시 강북구 월계로 61,http://www.changmun.hs.kr
청담고등학교,고등학교,서울특별시 강남구 압구정로 419,http://www.chungdam.hs.kr
청량고등학교,고등학교,서울특별시 동대문구 왕산로 303,http://www.chungryang.hs.kr
청원고등학교,고등학교,서울특별시 노원구 한글비석로 506,http://www.cheongwon.hs.kr
청원여자고등학교,고등학교,서울특별시 노원구 한글비석로 506,http://www.cheongwon-gh.hs.kr
충암고등학교,고등학교,서울특별시 은평구 가좌로5길 5,http://cham.sen.hs.kr
태릉고등학교,고등학교,서울특별시 중랑구 신내로23길 36,http://taereung.sen.hs.kr
풍문고등학교,고등학교,서울특별시 강남구 자곡로 152,http://poongmoon.sen.hs.kr
하나고등학교,고등학교,서울특별시 은평구 연서로 535,http://www.hana.hs.kr
